"date","id","SO2","NO2","O3","PM10","CO","PM2.5","C6H6"
2022-11-08 06:00:00,291,2.5,8.1,23,18,NA,NA,NA
2022-11-08 05:00:00,291,2.2,8.1,23.5,12,NA,NA,NA
2022-11-08 04:00:00,291,2.1,7.4,24.3,18,NA,NA,NA
2022-11-08 03:00:00,291,2.2,6.7,26,19,NA,NA,NA
2022-11-08 02:00:00,291,NA,6.6,24.5,13,NA,NA,NA
2022-11-08 01:00:00,291,NA,6.7,25.7,12,NA,NA,NA
2022-11-08 00:00:00,291,2.2,NA,NA,36,NA,NA,NA
2022-11-07 23:00:00,291,2.1,NA,NA,20,NA,NA,NA
2022-11-07 22:00:00,291,2.3,8.6,24.9,21,NA,NA,NA
2022-11-07 21:00:00,291,2.2,9.6,24.4,22,NA,NA,NA
2022-11-07 20:00:00,291,2.2,10.1,22.6,24,NA,NA,NA
2022-11-07 19:00:00,291,2.4,10.5,26.2,18,NA,NA,NA
2022-11-07 18:00:00,291,2.4,9.4,31.8,20,NA,NA,NA
2022-11-07 17:00:00,291,2.4,9.4,31.9,17,NA,NA,NA
2022-11-07 16:00:00,291,2.3,9.6,30.3,17,NA,NA,NA
2022-11-07 15:00:00,291,2.4,9.9,30.7,19,NA,NA,NA
2022-11-07 14:00:00,291,2.4,10.3,32,17,NA,NA,NA
2022-11-07 13:00:00,291,2.4,8.8,35.7,17,NA,NA,NA
2022-11-07 12:00:00,291,2.6,7.4,40.4,19,NA,NA,NA
2022-11-07 11:00:00,291,2.9,6.2,40.9,22,NA,NA,NA
2022-11-07 10:00:00,291,2.4,6.4,35.3,21,NA,NA,NA
2022-11-07 09:00:00,291,2.3,7.4,28.6,19,NA,NA,NA
2022-11-07 08:00:00,291,2.1,8.2,22.2,16,NA,NA,NA
2022-11-07 07:00:00,291,1.9,11,11.8,11,NA,NA,NA
2022-11-07 06:00:00,291,1.7,11.3,8.7,11,NA,NA,NA
2022-11-07 05:00:00,291,1.4,5.5,8.5,11,NA,NA,NA
2022-11-07 04:00:00,291,1.5,5.5,12,18,NA,NA,NA
2022-11-07 03:00:00,291,NA,6.7,17.9,21,NA,NA,NA
2022-11-07 02:00:00,291,NA,7.9,13.6,22,NA,NA,NA
2022-11-07 01:00:00,291,1.7,NA,NA,26,NA,NA,NA
2022-11-07 00:00:00,291,1.9,NA,NA,32,NA,NA,NA
2022-11-06 23:00:00,291,1.8,14,13.8,36,NA,NA,NA
2022-11-06 22:00:00,291,2.1,10.5,6.9,34,NA,NA,NA
2022-11-06 21:00:00,291,2.6,14.3,15.5,41,NA,NA,NA
2022-11-06 20:00:00,291,2.7,13.2,21.8,35,NA,NA,NA
2022-11-06 19:00:00,291,2.8,11.9,26.2,29,NA,NA,NA
2022-11-06 18:00:00,291,2.6,9.4,31.7,34,NA,NA,NA
2022-11-06 17:00:00,291,3.1,11.2,34.9,24,NA,NA,NA
2022-11-06 16:00:00,291,2.7,9.2,44.4,22,NA,NA,NA
2022-11-06 15:00:00,291,2.4,8.7,43.7,20,NA,NA,NA
2022-11-06 14:00:00,291,2.2,4.2,53.1,16,NA,NA,NA
2022-11-06 13:00:00,291,1.9,2.6,63.5,14,NA,NA,NA
2022-11-06 12:00:00,291,2,2.6,60.7,17,NA,NA,NA
2022-11-06 11:00:00,291,1.8,3.6,52.1,15,NA,NA,NA
2022-11-06 10:00:00,291,1.7,4.7,35.6,29,NA,NA,NA
2022-11-06 09:00:00,291,2.3,4.9,37.6,24,NA,NA,NA
2022-11-06 08:00:00,291,1.7,5.5,22.4,19,NA,NA,NA
2022-11-06 07:00:00,291,1.6,5.6,21.9,16,NA,NA,NA
2022-11-06 06:00:00,291,1.5,6,15.1,14,NA,NA,NA
2022-11-06 05:00:00,291,1.5,7.1,15.4,15,NA,NA,NA
2022-11-06 04:00:00,291,NA,8.7,15.8,22,NA,NA,NA
2022-11-06 03:00:00,291,NA,9.2,17.5,27,NA,NA,NA
2022-11-06 02:00:00,291,2,NA,NA,26,NA,NA,NA
2022-11-06 01:00:00,291,2.3,NA,NA,28,NA,NA,NA
2022-11-06 00:00:00,291,2.4,6.9,27.1,26,NA,NA,NA
2022-11-05 23:00:00,291,2.9,6.6,32,18,NA,NA,NA
2022-11-08 06:00:00,659,NA,12.0318,4.92056,32.38,673.61,22.2985,NA
2022-11-08 05:00:00,659,NA,10.8618,3.80167,31.2101,551.94,19.417,NA
2022-11-08 04:00:00,659,NA,8.05058,4.47556,21.3165,386.93,16.6304,NA
2022-11-08 03:00:00,659,NA,8.76758,5.69278,22.5778,381.37,18.2256,NA
2022-11-08 02:00:00,659,NA,10.1676,8.72556,22.1589,353.41,18.446,NA
2022-11-08 01:00:00,659,NA,12.5608,12.9756,26.0573,372.02,21.1926,NA
2022-11-08 00:00:00,659,NA,14.6156,17.6883,26.1353,381.72,21.2156,NA
2022-11-07 23:00:00,659,NA,9.9185,27.4939,20.0585,307.84,15.5916,NA
2022-11-07 22:00:00,659,NA,9.64392,31.1983,17.748,287.4,14.2668,NA
2022-11-07 21:00:00,659,NA,10.7672,29.2322,21.0968,323.83,16.6012,NA
2022-11-07 20:00:00,659,NA,11.814,28.2189,29.2038,368.73,24.467,NA
2022-11-07 19:00:00,659,NA,11.5506,29.9594,36.9014,444.5,30.954,NA
2022-11-07 18:00:00,659,NA,14.2115,25.6733,37.1282,457.38,29.4045,NA
2022-11-07 17:00:00,659,NA,25.1258,18.0139,43.733,703.49,34.6852,NA
2022-11-07 16:00:00,659,NA,12.1072,36.5528,16.6097,258.23,12.1344,NA
2022-11-07 15:00:00,659,NA,10.8708,40.8928,15.916,248.17,10.7721,NA
2022-11-07 14:00:00,659,NA,10.0205,40.5461,14.9935,236.55,9.75103,NA
2022-11-07 13:00:00,659,NA,11.754,27.5317,24.4723,361.72,15.4263,NA
2022-11-07 12:00:00,659,NA,6.40095,33.6072,17.9823,282.91,12.6139,NA
2022-11-07 11:00:00,659,NA,7.69966,30.1228,21.1484,378.7,15.101,NA
2022-11-07 10:00:00,659,NA,12.615,25.7183,19.4239,499.82,14.153,NA
2022-11-07 09:00:00,659,NA,8.64808,23.9278,19.1533,483.51,14.1355,NA
2022-11-07 08:00:00,659,NA,10.1676,19.355,22.1527,487.87,16.9056,NA
2022-11-07 07:00:00,659,NA,13.9332,11.5444,27.4858,537.9,21.3823,NA
2022-11-07 06:00:00,659,NA,15.7469,8.575,29.0864,577.38,22.2665,NA
2022-11-07 05:00:00,659,NA,15.3932,6.72389,28.252,529.33,22.4509,NA
2022-11-07 04:00:00,659,NA,11.3493,9.58333,26.7027,490.3,21.024,NA
2022-11-07 03:00:00,659,NA,8.81273,12.1167,24.4684,481.15,19.3398,NA
2022-11-07 02:00:00,659,NA,6.9618,15.8639,22.2395,470.09,17.3881,NA
2022-11-07 01:00:00,659,NA,6.2788,18.0244,20.7807,465.57,16.4322,NA
2022-11-07 00:00:00,659,NA,6.31916,17.36,23.5251,473.88,17.8378,NA
2022-11-06 23:00:00,659,NA,6.6527,17.55,25.3984,484.77,19.9684,NA
2022-11-06 22:00:00,659,NA,6.73343,19.1444,26.1895,480.27,20.4987,NA
2022-11-06 21:00:00,659,NA,8.05961,21.8456,26.2695,499.99,21.3626,NA
2022-11-06 20:00:00,659,NA,8.24125,25.5844,24.4638,483.2,20.1178,NA
2022-11-06 19:00:00,659,NA,10.1113,25.215,26.5449,519.51,21.3155,NA
2022-11-06 18:00:00,659,NA,9.03951,26.0706,24.4652,473.02,19.3484,NA
2022-11-06 17:00:00,659,NA,10.5606,23.1533,21.6381,442.49,16.8418,NA
2022-11-06 16:00:00,659,NA,9.7597,18.8944,23.0189,448.22,17.5935,NA
2022-11-06 15:00:00,659,NA,7.3219,23.7467,21.59,404.91,16.37,NA
2022-11-06 14:00:00,659,NA,6.39245,33.2461,18.8526,355.63,14.6314,NA
2022-11-06 13:00:00,659,NA,7.42918,39.3622,22.1102,407.07,17.6049,NA
2022-11-06 12:00:00,659,NA,4.88941,43.0489,18.338,350.11,14.2007,NA
2022-11-06 11:00:00,659,NA,5.71954,39.1328,19.8462,355.9,15.387,NA
2022-11-06 10:00:00,659,NA,7.03404,36.2656,21.6905,359.63,16.6645,NA
2022-11-06 09:00:00,659,NA,7.13707,35.8817,23.2523,344.41,17.3607,NA
2022-11-06 08:00:00,659,NA,8.55036,31.1,27.1833,372.34,21.1705,NA
2022-11-06 07:00:00,659,NA,8.21204,30.2711,27.4856,378.39,21.5085,NA
2022-11-06 06:00:00,659,NA,8.64649,31.2894,21.2936,353.63,15.8062,NA
2022-11-06 05:00:00,659,NA,7.68943,34.7339,17.5412,320.95,13.4293,NA
2022-11-06 04:00:00,659,NA,5.97181,38.9583,16.9049,309.18,13.0479,NA
2022-11-06 03:00:00,659,NA,5.85816,39.4639,15.038,310.81,11.7474,NA
2022-11-06 02:00:00,659,NA,7.25657,34.1756,16.8742,332.03,13.3653,NA
2022-11-06 01:00:00,659,NA,10.3232,24.5794,21.1643,390.43,16.5728,NA
2022-11-06 00:00:00,659,NA,12.6564,16.7861,19.1175,411.46,15.6182,NA
2022-11-05 23:00:00,659,NA,11.8193,14.2928,18.5561,438.97,15.3417,NA
2022-11-08 06:00:00,459,8.61397,36.5266,5.80667,32.6492,701.36,NA,NA
2022-11-08 05:00:00,459,6.57685,23.1825,9.29778,10.1604,450.48,NA,NA
2022-11-08 04:00:00,459,6.33671,14.9471,15.8156,8.41883,355.67,NA,NA
2022-11-08 03:00:00,459,7.11919,10.8559,24.3556,3.04843,353.6,NA,NA
2022-11-08 02:00:00,459,7.60169,7.16841,29.8828,15.2417,463.52,NA,NA
2022-11-08 01:00:00,459,7.60464,6.79079,30.7661,7.44486,436.24,NA,NA
2022-11-08 00:00:00,459,8.29994,7.47326,31.23,11.1395,507.88,NA,NA
2022-11-07 23:00:00,459,7.83666,10.4756,29.0378,23.2551,634.08,NA,NA
2022-11-07 22:00:00,459,7.23668,15.527,24.6083,17.8065,608.11,NA,NA
2022-11-07 21:00:00,459,7.6209,15.3135,25.7367,13.8615,610.71,NA,NA
2022-11-07 20:00:00,459,8.29624,12.1646,30.9294,19.1495,513.12,NA,NA
2022-11-07 19:00:00,459,7.53741,10.1888,37.5783,21.7873,440.38,NA,NA
2022-11-07 18:00:00,459,7.22707,13.0754,38.125,12.5942,456.88,NA,NA
2022-11-07 17:00:00,459,7.38224,17.0386,40.6133,22.8665,436.89,NA,NA
2022-11-07 16:00:00,459,7.16131,16.799,47.4644,13.179,409.58,NA,NA
2022-11-07 15:00:00,459,5.95692,17.5012,50.46,10.7961,383.1,NA,NA
2022-11-07 14:00:00,459,5.72122,10.1134,53.4694,14.3157,282.92,NA,NA
2022-11-07 13:00:00,459,6.77561,8.60188,62.0717,3.53992,270.94,NA,NA
2022-11-07 12:00:00,459,6.38474,7.28525,63.3428,7.27293,282.54,NA,NA
2022-11-07 11:00:00,459,6.07662,9.35074,58.145,10.9366,286.82,NA,NA
2022-11-07 10:00:00,459,7.49233,10.5526,38.2211,14.426,378.79,NA,NA
2022-11-07 09:00:00,459,8.23935,14.3772,32.3867,18.1271,407.65,NA,NA
2022-11-07 08:00:00,459,8.59697,15.4745,28.6422,15.3683,434.96,NA,NA
2022-11-07 07:00:00,459,7.68888,25.9326,9.95056,28.6396,602.83,NA,NA
2022-11-07 06:00:00,459,7.31426,20.98,3.79333,32.9277,699.38,NA,NA
2022-11-07 05:00:00,459,6.74753,17.5495,4.13667,15.9872,504.5,NA,NA
2022-11-07 04:00:00,459,6.11504,8.84247,12.2128,10.5597,447.58,NA,NA
2022-11-07 03:00:00,459,5.53354,5.59366,18.4228,17.0521,477.52,NA,NA
2022-11-07 02:00:00,459,4.87149,4.12567,23.2344,4.99436,407.19,NA,NA
2022-11-07 01:00:00,459,6.07219,3.91216,26.3483,8.08031,400.66,NA,NA
2022-11-07 00:00:00,459,5.86604,3.8564,27.8456,8.46665,396.99,NA,NA
2022-11-06 23:00:00,459,5.92219,4.21702,28.5233,10.5566,401.26,NA,NA
2022-11-06 22:00:00,459,6.53917,5.44867,30.1461,18.7091,436.64,NA,NA
2022-11-06 21:00:00,459,6.10027,6.68138,30.2939,10.2884,416.91,NA,NA
2022-11-06 20:00:00,459,6.70468,6.11681,33.3339,18.8777,420.21,NA,NA
2022-11-06 19:00:00,459,6.33302,7.63578,32.6033,7.71495,382.26,NA,NA
2022-11-06 18:00:00,459,5.95471,5.54799,36.15,6.28935,346.84,NA,NA
2022-11-06 17:00:00,459,6.98028,5.11194,38.2817,10.5085,366.5,NA,NA
2022-11-06 16:00:00,459,7.00467,8.97631,35.1267,19.0143,449.89,NA,NA
2022-11-06 15:00:00,459,6.6766,7.00323,40.0106,12.7328,388.94,NA,NA
2022-11-06 14:00:00,459,5.87269,4.84958,47.7422,7.79661,364.3,NA,NA
2022-11-06 13:00:00,459,6.30051,2.75859,53.8783,10.0372,288.05,NA,NA
2022-11-06 12:00:00,459,5.83353,2.83082,56.8894,2.93968,272.78,NA,NA
2022-11-06 11:00:00,459,5.52689,2.92005,60.0383,1,277.97,NA,NA
2022-11-06 10:00:00,459,5.98057,2.66405,59.9794,3.54566,276.06,NA,NA
2022-11-06 09:00:00,459,5.63107,2.64759,63.2878,5.16691,262.98,NA,NA
2022-11-06 08:00:00,459,5.07395,5.36475,54.3222,4.52525,300.06,NA,NA
2022-11-06 07:00:00,459,4.80721,4.56065,52.215,8.34761,287.46,NA,NA
2022-11-06 06:00:00,459,4.40378,3.87605,51.3761,9.6583,294.33,NA,NA
2022-11-06 05:00:00,459,4.75032,2.97263,55.5278,2.62756,288.92,NA,NA
2022-11-06 04:00:00,459,5.50472,3.82931,51.865,4.14787,296.79,NA,NA
2022-11-06 03:00:00,459,5.21138,4.86923,38.9783,4.61625,342.94,NA,NA
2022-11-06 02:00:00,459,5.78993,6.325,41.3828,3.49779,336.97,NA,NA
2022-11-06 01:00:00,459,6.29164,7.21833,34.535,6.0868,346.48,NA,NA
2022-11-06 00:00:00,459,6.53326,6.86196,35.3878,9.41032,361.13,NA,NA
2022-11-05 23:00:00,459,5.91407,6.10884,38.0917,4.02554,343.25,NA,NA
2022-11-08 06:00:00,736,1.89612,19.8633,25.7876,12.8557,313.524,11.2531,0.49176
