DatetimeBegin UTC+01;date_beg_UTC_00;Concentration;AirQualityStationEoICode;AirPollutant;AveragingTime;;;DatetimeEnd
01.01.2022 00:00;31.12.2021 23:00;13.55;PL0012A;PM10;hour;;;2022-01-01 01:00:00 +01:00
01.01.2022 01:00;01.01.2022 00:00;17.54;PL0012A;PM10;hour;;;2022-01-01 02:00:00 +01:00
01.01.2022 02:00;01.01.2022 01:00;21.86;PL0012A;PM10;hour;;;2022-01-01 03:00:00 +01:00
01.01.2022 03:00;01.01.2022 02:00;21.43;PL0012A;PM10;hour;;;2022-01-01 04:00:00 +01:00
01.01.2022 04:00;01.01.2022 03:00;19.66;PL0012A;PM10;hour;;;2022-01-01 05:00:00 +01:00
01.01.2022 05:00;01.01.2022 04:00;14.16;PL0012A;PM10;hour;;;2022-01-01 06:00:00 +01:00
01.01.2022 06:00;01.01.2022 05:00;11.87;PL0012A;PM10;hour;;;2022-01-01 07:00:00 +01:00
01.01.2022 07:00;01.01.2022 06:00;10.45;PL0012A;PM10;hour;;;2022-01-01 08:00:00 +01:00
01.01.2022 08:00;01.01.2022 07:00;9.39;PL0012A;PM10;hour;;;2022-01-01 09:00:00 +01:00
01.01.2022 09:00;01.01.2022 08:00;13.87;PL0012A;PM10;hour;;;2022-01-01 10:00:00 +01:00
01.01.2022 10:00;01.01.2022 09:00;12.56;PL0012A;PM10;hour;;;2022-01-01 11:00:00 +01:00
01.01.2022 11:00;01.01.2022 10:00;13.39;PL0012A;PM10;hour;;;2022-01-01 12:00:00 +01:00
01.01.2022 12:00;01.01.2022 11:00;12.12;PL0012A;PM10;hour;;;2022-01-01 13:00:00 +01:00
01.01.2022 13:00;01.01.2022 12:00;11.88;PL0012A;PM10;hour;;;2022-01-01 14:00:00 +01:00
01.01.2022 14:00;01.01.2022 13:00;13.52;PL0012A;PM10;hour;;;2022-01-01 15:00:00 +01:00
01.01.2022 15:00;01.01.2022 14:00;15.99;PL0012A;PM10;hour;;;2022-01-01 16:00:00 +01:00
01.01.2022 16:00;01.01.2022 15:00;17.73;PL0012A;PM10;hour;;;2022-01-01 17:00:00 +01:00
01.01.2022 17:00;01.01.2022 16:00;17.45;PL0012A;PM10;hour;;;2022-01-01 18:00:00 +01:00
01.01.2022 18:00;01.01.2022 17:00;23.44;PL0012A;PM10;hour;;;2022-01-01 19:00:00 +01:00
01.01.2022 19:00;01.01.2022 18:00;23.54;PL0012A;PM10;hour;;;2022-01-01 20:00:00 +01:00
01.01.2022 20:00;01.01.2022 19:00;28.85;PL0012A;PM10;hour;;;2022-01-01 21:00:00 +01:00
01.01.2022 21:00;01.01.2022 20:00;33.32;PL0012A;PM10;hour;;;2022-01-01 22:00:00 +01:00
01.01.2022 22:00;01.01.2022 21:00;35.78;PL0012A;PM10;hour;;;2022-01-01 23:00:00 +01:00
01.01.2022 23:00;01.01.2022 22:00;33.73;PL0012A;PM10;hour;;;2022-01-02 00:00:00 +01:00
06.01.2022 00:00;05.01.2022 23:00;14.51;PL0012A;PM10;hour;;;2022-01-06 01:00:00 +01:00
06.01.2022 01:00;06.01.2022 00:00;11.92;PL0012A;PM10;hour;;;2022-01-06 02:00:00 +01:00
06.01.2022 02:00;06.01.2022 01:00;8.27;PL0012A;PM10;hour;;;2022-01-06 03:00:00 +01:00
06.01.2022 03:00;06.01.2022 02:00;8.67;PL0012A;PM10;hour;;;2022-01-06 04:00:00 +01:00
06.01.2022 04:00;06.01.2022 03:00;10.21;PL0012A;PM10;hour;;;2022-01-06 05:00:00 +01:00
06.01.2022 05:00;06.01.2022 04:00;10.42;PL0012A;PM10;hour;;;2022-01-06 06:00:00 +01:00
06.01.2022 06:00;06.01.2022 05:00;10.18;PL0012A;PM10;hour;;;2022-01-06 07:00:00 +01:00
06.01.2022 07:00;06.01.2022 06:00;11.21;PL0012A;PM10;hour;;;2022-01-06 08:00:00 +01:00
06.01.2022 08:00;06.01.2022 07:00;8.04;PL0012A;PM10;hour;;;2022-01-06 09:00:00 +01:00
