Countrycode,Namespace,AirQualityNetwork,AirQualityStation,AirQualityStationEoICode,SamplingPoint,SamplingProcess,Sample,AirPollutant,AirPollutantCode,AveragingTime,Concentration,UnitOfMeasurement,DatetimeBegin,DatetimeEnd,Validity,Verification
PL,PL.CIEP.AQ,NET_PL_MP_AQ,STA_PL0501A,PL0501A,SPO_PL0501A_5_001,SPP_PL0501A_5_001,SAM_PL0501A_5_001,PM10,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5,hour,22.9540000000,µg/m3,2022-01-01 00:00:00 +01:00,2022-01-01 01:00:00 +01:00,1,3
PL,PL.CIEP.AQ,NET_PL_MP_AQ,STA_PL0501A,PL0501A,SPO_PL0501A_5_001,SPP_PL0501A_5_001,SAM_PL0501A_5_001,PM10,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5,hour,16.7339000000,µg/m3,2022-01-01 01:00:00 +01:00,2022-01-01 02:00:00 +01:00,1,3
PL,PL.CIEP.AQ,NET_PL_MP_AQ,STA_PL0501A,PL0501A,SPO_PL0501A_5_001,SPP_PL0501A_5_001,SAM_PL0501A_5_001,PM10,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5,hour,17.6933000000,µg/m3,2022-01-01 02:00:00 +01:00,2022-01-01 03:00:00 +01:00,1,3
PL,PL.CIEP.AQ,NET_PL_MP_AQ,STA_PL0501A,PL0501A,SPO_PL0501A_5_001,SPP_PL0501A_5_001,SAM_PL0501A_5_001,PM10,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5,hour,25.6616000000,µg/m3,2022-01-01 03:00:00 +01:00,2022-01-01 04:00:00 +01:00,1,3
PL,PL.CIEP.AQ,NET_PL_MP_AQ,STA_PL0501A,PL0501A,SPO_PL0501A_5_001,SPP_PL0501A_5_001,SAM_PL0501A_5_001,PM10,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5,hour,20.4678000000,µg/m3,2022-01-01 04:00:00 +01:00,2022-01-01 05:00:00 +01:00,1,3
PL,PL.CIEP.AQ,NET_PL_MP_AQ,STA_PL0501A,PL0501A,SPO_PL0501A_5_001,SPP_PL0501A_5_001,SAM_PL0501A_5_001,PM10,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5,hour,18.0317000000,µg/m3,2022-01-01 05:00:00 +01:00,2022-01-01 06:00:00 +01:00,1,3
PL,PL.CIEP.AQ,NET_PL_MP_AQ,STA_PL0501A,PL0501A,SPO_PL0501A_5_001,SPP_PL0501A_5_001,SAM_PL0501A_5_001,PM10,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5,hour,13.6757000000,µg/m3,2022-01-01 06:00:00 +01:00,2022-01-01 07:00:00 +01:00,1,3
PL,PL.CIEP.AQ,NET_PL_MP_AQ,STA_PL0501A,PL0501A,SPO_PL0501A_5_001,SPP_PL0501A_5_001,SAM_PL0501A_5_001,PM10,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5,hour,14.1651000000,µg/m3,2022-01-01 07:00:00 +01:00,2022-01-01 08:00:00 +01:00,1,3
PL,PL.CIEP.AQ,NET_PL_MP_AQ,STA_PL0501A,PL0501A,SPO_PL0501A_5_001,SPP_PL0501A_5_001,SAM_PL0501A_5_001,PM10,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5,hour,10.2840000000,µg/m3,2022-01-01 08:00:00 +01:00,2022-01-01 09:00:00 +01:00,1,3
PL,PL.CIEP.AQ,NET_PL_MP_AQ,STA_PL0501A,PL0501A,SPO_PL0501A_5_001,SPP_PL0501A_5_001,SAM_PL0501A_5_001,PM10,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5,hour,19.7242000000,µg/m3,2022-01-01 09:00:00 +01:00,2022-01-01 10:00:00 +01:00,1,3
